Product Name,Standard Division,Factory,Factory Latitude,Factory Longitude
Wonka Bar - Nutty Crunch Surprise,Chocolate,Lot's O' Nuts,32.881893,-111.768036
Wonka Bar - Fudge Mallows,Chocolate,Lot's O' Nuts,32.881893,-111.768036
Wonka Bar -Scrumdiddlyumptious,Chocolate,Lot's O' Nuts,32.881893,-111.768036
Wonka Bar - Milk Chocolate,Chocolate,Wicked Choccy's,32.076176,-81.088371
Wonka Bar - Triple Dazzle Caramel,Chocolate,Wicked Choccy's,32.076176,-81.088371
Laffy Taffy,Sugar,Sugar Shack,48.11914,-96.18115
SweeTARTS,Sugar,Sugar Shack,48.11914,-96.18115
Nerds,Sugar,Sugar Shack,48.11914,-96.18115
Fun Dip,Sugar,Sugar Shack,48.11914,-96.18115
Fizzy Lifting Drinks,Other,Sugar Shack,48.11914,-96.18115
Everlasting Gobstopper,Sugar,Secret Factory,41.446333,-90.565487
Hair Toffee,Sugar,The Other Factory,35.1175,-89.971107
Lickable Wallpaper,Other,Secret Factory,41.446333,-90.565487
Wonka Gum,Other,Secret Factory,41.446333,-90.565487
Kazookles,Other,The Other Factory,35.1175,-89.971107
